stop_id,stop_name,stop_lat,stop_lon
AngleLake,Angle Lake,47.434,-122.296
SeaTac,SeaTac,47.444,-122.296
Tukwila,Tukwila,47.463,-122.281
RainierBeach,Rainier Beach,47.522,-122.276
MountBaker,Mount Baker,47.576,-122.299
IntlDistrict,International District,47.598,-122.327
Westlake,Westlake,47.612,-122.337
UStreet,University Street,47.615,-122.32
Roosevelt,Roosevelt,47.676,-122.317
Northgate,Northgate,47.708,-122.318
Lynnwood,Lynnwood,47.812,-122.308
Everett,Everett,47.961,-122.204
